at,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
25/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101304,0.003690061,0.016320034,0.061650428,0.170332934,0.384184997,0.47835068,0.486290013,0.450864064,0.440205237,0.349859356,0.37903868,0.446725382,0.469047591,0.368525502,0.280383136,0.27007581,0.209451066,0.115141142,0.020086155,0.000939924,0.000618314,4.07E-05,0,0,0,0,0,0,0,0,0,0
26/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-06,0.006529159,0.059422664,0.126232432,0.233439006,0.350724683,0.414483357,0.4675473,0.532610139,0.541482068,0.530908812,0.492999991,0.540606513,0.536542785,0.478249471,0.424365532,0.401281847,0.319643475,0.249935137,0.15666491,0.04360215,0.006924339,6.18E-05,6.19E-06,0,0,0,0,0,0,0,0,0,0
27/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118944,0.024238673,0.133325477,0.244296063,0.358471827,0.392670114,0.39230614,0.449023408,0.468965058,0.431202528,0.406942835,0.392793097,0.512933149,0.44031146,0.345165664,0.295648821,0.242824521,0.134479231,0.098802654,0.064913466,0.0220439,0.0005172,4.84E-05,0,0,0,0,0,0,0,0,0,0
28/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005287524,0.035316492,0.059424558,0.092149935,0.089249311,0.05721728,0.063762642,0.062784834,0.068060117,0.107133931,0.124101363,0.121880005,0.107391433,0.117902202,0.115328668,0.114101268,0.110575374,0.098765852,0.075831586,0.034856879,0.012122068,0.000887376,3.95E-06,0,0,0,0,0,0,0,0,0,0
01/03/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73E-05,0.016278173,0.074498938,0.150329236,0.260640412,0.386760825,0.451300459,0.47975855,0.539764658,0.551459927,0.477525527,0.410391924,0.464288086,0.439404458,0.391555436,0.405607658,0.327681472,0.257402176,0.201028806,0.119061441,0.037433969,0.004478577,0.000175138,1.04E-05,0,0,0,0,0,0,0,0,0,0
02/03/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74E-05,0.009358604,0.024601042,0.042734017,0.044421477,0.051384507,0.057868228,0.053694405,0.037279136,0.05982075,0.07016601,0.077632697,0.066926381,0.087411088,0.098352855,0.079791058,0.061953746,0.033170256,0.01583141,0.011912454,0.003721463,0.000477708,1.11E-05,1.50E-06,0,0,0,0,0,0,0,0,0,0
03/03/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054185,0.002117935,0.007674709,0.041534943,0.117725949,0.288232095,0.415591163,0.451087712,0.47654752,0.492396952,0.435812945,0.418635612,0.396885759,0.356659004,0.299866723,0.26636857,0.209166817,0.175299001,0.126206172,0.104501752,0.065292529,0.020809192,0.000926034,5.77E-07,0,0,0,0,0,0,0,0,0,0
04/03/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001172555,0.036968348,0.084238545,0.193938787,0.341829749,0.398223728,0.40016943,0.441826312,0.463357615,0.456572755,0.505473291,0.530136323,0.481449768,0.4627391,0.46096582,0.395857881,0.286131927,0.209377977,0.120456845,0.04617541,0.022864457,0.004539295,7.29E-05,0,0,0,0,0,0,0,0,0,0
05/03/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151006,0.010295945,0.073214903,0.118092158,0.131989929,0.174987209,0.2668858,0.422671947,0.455110004,0.403864658,0.360916358,0.354558111,0.474228488,0.405689825,0.262242548,0.262163467,0.267990785,0.214334319,0.138054172,0.091570322,0.058443178,0.021690849,0.001067379,2.17E-05,0,0,0,0,0,0,0,0,0,0
06/03/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77E-05,0.004697468,0.02513744,0.053631224,0.07972486,0.112124246,0.120778026,0.127658607,0.121367634,0.136497829,0.141129398,0.154012286,0.141853738,0.098268547,0.073099457,0.056874363,0.041890004,0.028845599,0.025821735,0.016583169,0.00658678,0.000975629,0,9.85E-06,0,0,0,0,0,0,0,0,0,0
